[02-12-16 || 02:03:43] Initializing...
[02-12-16 || 02:03:43] Application Started.
[02-12-16 || 02:03:43] Checking hashes size for purge...
[02-12-16 || 02:03:43] Checking log size for purge...
[02-12-16 || 02:03:43] 7 files found.
[02-12-16 || 02:03:43] Skipping 7z1514-extra.7z. Already processed.
[02-12-16 || 02:03:43] Skipping 7zDLLs.7z. Already processed.
[02-12-16 || 02:03:45] Skipping Kes10winSP1_mr2_en_aes256.7z. Already processed.
[02-12-16 || 02:03:45] Skipping KMSpico 10.1.1 FINAL + Portable (Office and Windows 10 Activator) [TechTools.NET].rar. Already processed.
[02-12-16 || 02:03:45] Skipping Rapr_0.5.zip. Already processed.
[02-12-16 || 02:03:45] Skipping SDI_R423.zip. Already processed.
[02-12-16 || 02:03:45] Skipping TBP.7z. Already processed.
[02-12-16 || 02:03:45] Exiting normally. Errors: 0 Warnings: 0
